titre;nationalité;sortie;entrées (millions)
HORTON;ETATS UNIS;02/04/2008;1677939
ENTRE LES MURS;France;24/09/2008;1581407
MAMMA MIA ! LE FILM;GRANDE BRETAGNE;10/09/2008;1567871
MOMIE : LA TOMBE DE L'EMPEREUR DRAGON (LA );ETATS UNIS;06/08/2008;1556624
MESRINE : L'ENNEMI PUBLIC N°1;France;19/11/2008;1501437
INTO THE WILD;ETATS UNIS;09/01/2008;1416826
ECHANGE (L');ETATS UNIS;12/11/2008;1368115
TRANSPORTEUR 3 (LE);FRANCE;26/11/2008;1350462
FAUBOURG 36;France / Allemagne / REPUBLIQUE TCHEQUE;24/09/2008;1323826
PHENOMENES;ETATS UNIS;11/06/2008;1300264
CHIMPANZES DE L'ESPACE (LES);ETATS UNIS;22/10/2008;1245144
VOYAGE AU CENTRE DE LA TERRE 3D;ETATS UNIS;16/07/2008;1211704
PREMIER JOUR DU RESTE DE TA VIE (LE);France;23/07/2008;1200679
CRIME EST NOTRE AFFAIRE (LE);FRANCE;15/10/2008;1180809
JUMPER;ETATS UNIS;20/02/2008;1152898
LARGO WINCH;FRANCE;17/12/2008;1117630
CASH;France;23/04/2008;1107013
DEUX JOURS À TUER;France;30/04/2008;1088583
WANTED : CHOISIS TON DESTIN;ETATS UNIS;16/07/2008;1085652
AGATHE CLÉRY;France;03/12/2008;1085445
BURN AFTER READING;ETATS UNIS;10/12/2008;1063386
JACKPOT;ETATS UNIS;07/05/2008;1049173
SWEENEY TODD LE DIABOLIQUE BARBIER DE FLEET STREET;ETATS UNIS;23/01/2008;1045614
JE SUIS UNE LEGENDE;ETATS UNIS;19/12/2007;1030743
INCROYABLE HULK (L');ETATS UNIS;23/07/2008;1028315
TAKEN;France;27/02/2008;1021862
JOUR OU LA TERRE S'ARRETA (LE);ETATS UNIS;10/12/2008;1000867
RATATOUILLE;ETATS UNIS;01/08/2007;7672786
SPIDER-MAN 3;ETATS UNIS;01/05/2007;6321621
HARRY POTTER ET L'ORDRE DU PHENIX;GRANDE BRETAGNE;11/07/2007;6213501
PIRATES DES CARAIBES, JUSQU'AU BOUT DU MONDE;ETATS UNIS;23/05/2007;5640983
SHREK LE TROISIEME;ETATS UNIS;13/06/2007;5547999
MOME (LA);France / REPUBLIQUE TCHEQUE / GRANDE BRETAGNE;14/02/2007;5224878
TAXI 4;France;14/02/2007;4549943
SIMPSON LE FILM (LES);ETATS UNIS;25/07/2007;3548245
ENSEMBLE, C'EST TOUT;France;21/03/2007;2309738
A LA CROISEE DES MONDES : LA BOUSSOLE D'OR;GRANDE BRETAGNE;05/12/2007;2286993
NUIT AU MUSEE (LA);ETATS UNIS;07/02/2007;2270272
DIE HARD 4 RETOUR EN ENFER;ETATS UNIS;04/07/2007;2269498
ARTHUR ET LES MINIMOYS (EX : ARTHUR);FRANCE;13/12/2006;2254530
IL ETAIT UNE FOIS;ETATS UNIS;28/11/2007;2186407
TRANSFORMERS;ETATS UNIS;25/07/2007;1976264
JE SUIS UNE LEGENDE;ETATS UNIS;19/12/2007;1880548
CŒUR DES HOMMES N°2 (LE);France;24/10/2007;1811639
4 FANTASTIQUES ET LE SURFER D'ARGENT (LES);ETATS UNIS;08/08/2007;1661110
UN SECRET;France / Allemagne;03/10/2007;1654755
300;ETATS UNIS;21/03/2007;1652832
OCEAN'S 13;ETATS UNIS;20/06/2007;1642801
VENGEANCE DANS LA PEAU (LA);GRANDE BRETAGNE;12/09/2007;1541184
VIE DES AUTRES (LA);ALLEMAGNE;31/01/2007;1538818
ROIS DE LA GLISSE (LES);ETATS UNIS;24/10/2007;1512602
RENARD ET L'ENFANT (LE);France;12/12/2007;1487173
UN JOUR SUR TERRE;GRANDE BRETAGNE;10/10/2007;1402310
DIALOGUE AVEC MON JARDINIER;FRANCE;06/06/2007;1364036
PRIX À PAYER (LE);France;04/04/2007;1344982
BLOOD DIAMOND;ETATS UNIS;31/01/2007;1313870
PERSÉPOLIS;FRANCE;27/06/2007;1237077
99 FRANCS;France;26/09/2007;1230655
MOLIÈRE;France;31/01/2007;1219493
ERAGON;ETATS UNIS;20/12/2006;1205874
AMERICAN GANGSTER;ETATS UNIS;14/11/2007;1169200
ROCKY BALBOA;ETATS UNIS;24/01/2007;1150188
ZODIAC;ETATS UNIS;17/05/2007;1129018
FAILLE (LA);ETATS UNIS;09/05/2007;1115540
GHOST RIDER;ETATS UNIS;21/02/2007;1067667
VACANCES DE MR BEAN (LES);GRANDE BRETAGNE;18/04/2007;1063952
SECRET DE TARABITHIA (LE);ETATS UNIS;28/03/2007;1049287
BRONZÉS 3 (LES) - AMIS POUR LA VIE;FRANCE;01/02/2006;10227811
AGE DE GLACE 2 (L');ETATS UNIS;05/04/2006;6620564
PIRATES DES CARAIBES, LE SECRET DU COFFRE MAUDIT;ETATS UNIS;02/08/2006;6508884
CAMPING;FRANCE;26/04/2006;5471891
DA VINCI CODE;ETATS UNIS;17/05/2006;4161514
ARTHUR ET LES MINIMOYS (EX : ARTHUR);FRANCE;13/12/2006;4119531
JE VOUS TROUVE TRES BEAU (EX: LA FILLE DE L'EST);FRANCE;11/01/2006;3508260
PRETE-MOI TA MAIN (EX : RENT A WIFE);FRANCE;01/11/2006;3453125
DOUBLURE (LA);FRANCE / ITALIE;29/03/2006;3083815
INDIGÈNES;FRANCE / BELGIQUE;27/09/2006;3023912
CASINO ROYALE;GRANDE BRETAGNE;22/11/2006;2842076
X-MEN L'AFFRONTEMENT FINAL;ETATS UNIS;24/05/2006;2806896
NE LE DIS À PERSONNE;FRANCE;01/11/2006;2728271
OSS 117 - LE CAIRE, NID D'ESPIONS;FRANCE;19/04/2006;2299400
VOLVER;ESPAGNE;19/05/2006;2296256
MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE;ETATS UNIS;21/12/2005;2263516
DIABLE S'HABILLE EN PRADA (LE);ETATS UNIS;27/09/2006;2158883
CARS QUATRE ROUES;ETATS UNIS;14/06/2006;2022024
FAUTEUILS D'ORCHESTRE;FRANCE;15/02/2006;1932474
MISSION : IMPOSSIBLE 3;ETATS UNIS;03/05/2006;1914356
BAMBI 2;ETATS UNIS;01/02/2006;1850609
AZUR ET ASMAR;FRANCE / BELGIQUE / ESPAGNE / ITALIE;25/10/2006;1610508
ERAGON;ETATS UNIS;20/12/2006;1576744
MIAMI VICE - DEUX FLICS A MIAMI;ETATS UNIS;16/08/2006;1571796
REBELLES DE LA FORET (LES);ETATS UNIS;18/10/2006;1567501
NOS VOISINS LES HOMMES;ETATS UNIS;05/07/2006;1514322
INFILTRES (LES);ETATS UNIS;29/11/2006;1476303
NOS JOURS HEUREUX (EX:CES JOURS HEUREUX);FRANCE;28/06/2006;1474278
SUPERMAN RETURNS;ETATS UNIS;12/07/2006;1455483
ASTÉRIX ET LES VIKINGS;FRANCE;12/04/2006;1368321
SECRET DE BROKEBACK MOUNTAIN (LE);ETATS UNIS;18/01/2006;1320757
LORD OF WAR;ETATS UNIS;04/01/2006;1314258
GARFIELD 2;ETATS UNIS;19/07/2006;1273033
JEAN-PHILIPPE;FRANCE;05/04/2006;1218449
MARIE ANTOINETTE;ETATS UNIS;24/05/2006;1217251
HORS DE PRIX;FRANCE;13/12/2006;1214041
INSIDE MAN;ETATS UNIS;12/04/2006;1175442
MAISON DU BONHEUR (LA);FRANCE;07/06/2006;1144592
HAPPY FEET;ETATS UNIS;06/12/2006;1097570
IVRESSE DU POUVOIR (EX:LA COMÉDIE DU POUVOIR);FRANCE / ALLEMAGNE;22/02/2006;1078401
SOURIS CITY;ETATS UNIS;29/11/2006;1043666
MUNICH;ETATS UNIS;25/01/2006;1043520
COMME T'Y ES BELLE !;FRANCE / GRANDE BRETAGNE / LUXEMBOURG / BELGIQUE;10/05/2006;1040639
STAR WARS : EPISODE III - LA REVANCHE DES SITHS;ETATS UNIS;18/05/2005;7201421
HARRY POTTER ET LA COUPE DE FEU;GRANDE BRETAGNE;30/11/2005;7036158
BRICE DE NICE;FRANCE;06/04/2005;4425113
CHARLIE ET LA CHOCOLATERIE;GRANDE BRETAGNE;13/07/2005;4244665
GUERRE DES MONDES (LA);ETATS UNIS;06/07/2005;3887768
MADAGASCAR;ETATS UNIS;22/06/2005;3176072
MILLION DOLLAR BABY;ETATS UNIS;23/03/2005;3153904
MR & MRS SMITH;ETATS UNIS;27/07/2005;2956793
MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE;ETATS UNIS;21/12/2005;2874240
POUPEES RUSSES (LES);FRANCE / GRANDE BRETAGNE;15/06/2005;2835515
KING KONG;ETATS UNIS;14/12/2005;2774766
IZNOGOUD;FRANCE;09/02/2005;2535444
PALAIS ROYAL!;FRANCE / GRANDE BRETAGNE;23/11/2005;2375513
WALLACE ET GROMIT LE MYSTERE DU LAPIN-GAROU;GRANDE BRETAGNE;12/10/2005;2231299
4 FANTASTIQUES (LES);ETATS UNIS;20/07/2005;2215755
LEGENDE DE ZORRO (LA);ETATS UNIS;26/10/2005;2145922
HITCH EXPERT EN SEDUCTION;ETATS UNIS;16/03/2005;2055664
CHICKEN LITTLE;ETATS UNIS;07/12/2005;2031514
MARCHE DE L'EMPEREUR (LA);FRANCE;26/01/2005;1861041
JOYEUX NOEL;FRANCE / ALLEMAGNE / GRANDE BRETAGNE / BELGIQUE / ROUMANIE;09/11/2005;1859192
ESPACE DETENTE;FRANCE;02/02/2005;1770764
AVIATOR;ETATS UNIS;26/01/2005;1676033
MON BEAU PERE, MES PARENTS ET MOI;ETATS UNIS;16/02/2005;1658570
RAY;ETATS UNIS;23/02/2005;1589608
THE ISLAND;ETATS UNIS;17/08/2005;1552663
BATMAN BEGINS;ETATS UNIS;15/06/2005;1493024
FRERES GRIMM (LES);GRANDE BRETAGNE;05/10/2005;1486259
OLIVER TWIST;FRANCE / REPUBLIQUE TCHEQUE / GRANDE BRETAGNE;19/10/2005;1450851
MATCH POINT;GRANDE BRETAGNE;26/10/2005;1449174
TOUT POUR PLAIRE;FRANCE / BELGIQUE;16/03/2005;1444421
KIRIKOU ET LES BETES SAUVAGES;FRANCE;07/12/2005;1371404
NOCES FUNEBRES DE TIM BURTON (LES);GRANDE BRETAGNE;19/10/2005;1363235
CHATEAU AMBULANT (LE);ETATS UNIS;12/01/2005;1311161
COCCINELLE REVIENT (LA);ETATS UNIS;03/08/2005;1310693
KINGDOM OF HEAVEN;GRANDE BRETAGNE;04/05/2005;1278878
CHEVALIERS DU CIEL (LES);FRANCE;09/11/2005;1278656
MON PETIT DOIGT M'A DIT;FRANCE;13/04/2005;1264508
ALEXANDRE;GRANDE BRETAGNE / FRANCE / PAYS BAS;05/01/2005;1246093
SIN CITY;ETATS UNIS;01/06/2005;1231689
TRANSPORTEUR 2 (LE);FRANCE;03/08/2005;1226161
CONSTANTINE;ETATS UNIS;16/02/2005;1222930
BOUDU;FRANCE;09/03/2005;1196895
DERNIER TRAPPEUR (LE);FRANCE / CANADA / ALLEMAGNE / ITALIE;15/12/2004;1188500
VAILLANT PIGEON DE COMBAT;GRANDE BRETAGNE;30/03/2005;1159947
ROBOTS;ETATS UNIS;06/04/2005;1103154
DE BATTRE MON CŒUR S'EST ARRETE;FRANCE;16/03/2005;1013708
CHORISTES (LES);FRANCE / SUISSE;17/03/2004;8432827
SHREK 2;ETATS UNIS;23/06/2004;7136071
HARRY POTTER ET LE PRISONNIER D'AZKABAN;GRANDE BRETAGNE;02/06/2004;7077448
SPIDER-MAN 2;ETATS UNIS;14/07/2004;5234145
INDESTRUCTIBLES (LES);ETATS UNIS;24/11/2004;4924015
UN LONG DIMANCHE DE FIANCAILLES;FRANCE;27/10/2004;4328943
PODIUM;FRANCE / BELGIQUE;11/02/2004;3544462
FRERE DES OURS;ETATS UNIS;28/01/2004;3530471
DEUX FRERES;FRANCE / GRANDE BRETAGNE;07/04/2004;3309548
GANG DE REQUINS;ETATS UNIS;13/10/2004;2971714
11 COMMANDEMENTS (LES);FRANCE;04/02/2004;2955848
TROIE;GRANDE BRETAGNE;13/05/2004;2730738
JOUR D'APRES (LE);ETATS UNIS;26/05/2004;2677836
ENQUETE CORSE (L');FRANCE;06/10/2004;2541432
VILLAGE (LE);ETATS UNIS;18/08/2004;2359420
FAHRENHEIT 9/11;ETATS UNIS;07/07/2004;2330906
RETOUR DU ROI (LE);NOUVELLE ZELANDE;17/12/2003;2216125
DERNIER SAMOURAI (LE);ETATS UNIS;14/01/2004;2201875
OCEAN'S TWELVE;ETATS UNIS;15/12/2004;2107007
I, ROBOT;ETATS UNIS;28/07/2004;2088022
RIVIERES POURPRES 2 (LES);FRANCE / ITALIE / GRANDE BRETAGNE;18/02/2004;2079055
MARIAGES !;FRANCE;21/04/2004;1962952
DOUBLE ZERO;FRANCE / GRANDE BRETAGNE;16/06/2004;1804483
36 QUAI DES ORFEVRES;FRANCE;24/11/2004;1683871
DALTON (LES);FRANCE / ALLEMAGNE / ESPAGNE;08/12/2004;1678533
RRRRRRR !!!;FRANCE;28/01/2004;1666835
ROI ARTHUR (LE);ETATS UNIS;04/08/2004;1597716
COMME UNE IMAGE;FRANCE / ITALIE;22/09/2004;1593020
PASSION DU CHRIST (LA);ETATS UNIS;31/03/2004;1538537
BRIDGET JONES : L'AGE DE RAISON;ETATS UNIS;08/12/2004;1528376
GOTHIKA;ETATS UNIS;07/01/2004;1517077
VAN HELSING;ETATS UNIS;05/05/2004;1516761
STARSKY ET HUTCH;ETATS UNIS;21/04/2004;1510938
KILL BILL VOLUME 2;ETATS UNIS;17/05/2004;1465895
MALABAR PRINCESS;FRANCE;03/03/2004;1457790
COLLATERAL;ETATS UNIS;29/09/2004;1450039
PETER PAN;ETATS UNIS;04/02/2004;1418170
POLE EXPRESS (LE);ETATS UNIS;01/12/2004;1369900
SCOOBY-DOO 2 - LES MONSTRES SE DECHAINENT;ETATS UNIS;07/04/2004;1365404
LOST IN TRANSLATION;ETATS UNIS;07/01/2004;1336082
MONDE DE NEMO (LE);ETATS UNIS;26/11/2003;1291014
LADYKILLERS;ETATS UNIS;09/06/2004;1246739
GARFIELD, LE FILM;ETATS UNIS;11/08/2004;1215384
ARSENE LUPIN;FRANCE / GRANDE BRETAGNE / ESPAGNE / ITALIE;13/10/2004;1178716
VIPERE AU POING;FRANCE / GRANDE BRETAGNE;06/10/2004;1173913
BIG FISH;ETATS UNIS;03/03/2004;1142856
TERMINAL (LE);ETATS UNIS;15/09/2004;1137672
MORT DANS LA PEAU (LA);ETATS UNIS;08/09/2004;1137341
MANOIR HANTE ET LES 999 FANTOMES (LE);ETATS UNIS;18/02/2004;1081165
MAUVAISE EDUCATION (LA);ESPAGNE;12/05/2004;1066059
DERNIER TRAPPEUR (LE);FRANCE / CANADA / ALLEMAGNE / ITALIE;15/12/2004;1035438
MONDE DE NEMO (LE);ETATS UNIS;26/11/2003;7937655
TAXI 3;FRANCE;29/01/2003;6110508
MATRIX RELOADED;ETATS UNIS;16/05/2003;5636757
RETOUR DU ROI (LE);NOUVELLE ZELANDE;17/12/2003;5152136
CHOUCHOU;FRANCE;19/03/2003;3823902
PIRATES DES CARAIBES : LA MALEDICTION DU BLACK PEARL;ETATS UNIS;13/08/2003;3768440
ARRETE MOI SI TU PEUX;ETATS UNIS;12/02/2003;3596056
MATRIX REVOLUTIONS;ETATS UNIS;05/11/2003;3481122
LIVRE DE LA JUNGLE 2 (LE);ETATS UNIS;05/02/2003;3307629
TERMINATOR 3 : LE SOULEVEMENT DES MACHINES;ETATS UNIS;06/08/2003;3185715
TAIS-TOI;FRANCE / ITALIE;22/10/2003;3030344
X MEN II;ETATS UNIS;30/04/2003;2784931
BRUCE TOUT PUISSANT;ETATS UNIS;03/09/2003;2666591
SEIGNEUR DES ANNEAUX (LE) - LES DEUX TOURS;NOUVELLE ZELANDE;18/12/2002;2574735
8 MILE;ETATS UNIS;26/02/2003;2240719
GANGS OF NEW YORK;ETATS UNIS;08/01/2003;2151646
BEUZE (LA);FRANCE;05/02/2003;1955976
AMERICAN PIE:THE WEDDING;ETATS UNIS;15/10/2003;1912589
BAD BOYS II;ETATS UNIS;15/10/2003;1879381
FAST & FURIOUS 2;ETATS UNIS;18/06/2003;1787704
HULK;ETATS UNIS;02/07/2003;1665264
7 ANS DE MARIAGE...;FRANCE;25/06/2003;1626322
HARRY POTTER ET LA CHAMBRE DES SECRETS;ETATS UNIS;04/12/2002;1585229
CHARLIE'S ANGELS : LES ANGES SE DECHAINENT;ETATS UNIS;16/07/2003;1564145
KILL BILL VOL. 1;ETATS UNIS;26/11/2003;1550094
DIX-HUIT ANS APRES;FRANCE;05/02/2003;1536626
COEUR DES HOMMES (LE);FRANCE;02/04/2003;1533935
DAREDEVIL;ETATS UNIS;19/03/2003;1330665
GOOD BYE LENIN;ALLEMAGNE;10/09/2003;1300059
SINBAD: LA LEGENDE DES SEPT MERS;ETATS UNIS;09/07/2003;1252113
FANFAN LA TULIPE;FRANCE;14/05/2003;1248622
LARA CROFT TOMB RAIDER, LE BERCEAU DE LA VIE;ETATS UNIS;20/08/2003;1217867
INVASIONS BARBARES (LES);CANADA / FRANCE;24/09/2003;1194460
INTOLERABLE CRUAUTE;ETATS UNIS;19/11/2003;1186689
MYSTIC RIVER;ETATS UNIS;15/10/2003;1148169
PERE ET FILS;FRANCE / CANADA;20/08/2003;1145352
SENTIMENTS (LES);FRANCE;05/11/2003;1136411
CHICAGO;ETATS UNIS;26/02/2003;1128307
RIRE ET CHATIMENT;FRANCE;22/01/2003;1127230
COUT DE LA VIE (LE);FRANCE;30/07/2003;1099051
MAUVAIS ESPRIT;FRANCE / ESPAGNE;05/11/2003;1091800
JEUX D'ENFANTS;FRANCE / BELGIQUE;17/09/2003;1071854
MYSTERE DE LA CHAMBRE JAUNE (LE);FRANCE / BELGIQUE;11/06/2003;1060508
MOI CESAR, 10 ANS1/2, 1M39;FRANCE;09/04/2003;1058185
FLEUR DU MAL (LA);FRANCE;19/02/2003;1039599
EFFROYABLES JARDINS;FRANCE;26/03/2003;1024354
LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA);ETATS UNIS;01/10/2003;1022117
